Locality 0,Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,change 2010-2020,Growth PA
BANNOCKBURN,Bannockburn," $342,500 "," $378,000 "," $351,500 "," $370,000 "," $405,000 "," $393,000 "," $382,000 "," $430,000 "," $487,500 "," $530,000 "," $555,000 ",62,4.9
BARANDUDA,Baranduda," $353,000 "," $340,000 "," $340,000 "," $345,000 "," $330,000 "," $323,000 "," $350,000 "," $350,000 "," $403,500 "," $395,000 "," $425,000 ",20,1.9
BARNAWARTHA,Barnawartha," $169,000 "," $220,000 "," $222,000 "," $245,000 "," $220,000 "," $305,000 "," $245,000 "," $312,000 "," $280,000 "," $312,000 "," $345,000 ",104,7.4
BARWON HEADS,Barwon Heads," $615,500 "," $607,500 "," $632,500 "," $742,500 "," $715,000 "," $775,000 "," $842,500 "," $916,000 "," $965,000 "," $1,016,500 "," $1,240,000 ",101,7.3
BAXTER,Baxter," $317,000 "," $320,000 "," $315,000 "," $330,500 "," $325,000 "," $340,000 "," $403,000 "," $530,000 "," $542,500 "," $530,000 "," $567,500 ",79,6
BAYSWATER,Bayswater," $453,500 "," $447,500 "," $426,500 "," $458,500 "," $525,000 "," $632,500 "," $693,000 "," $800,500 "," $753,000 "," $720,000 "," $746,500 ",65,5.1
BAYSWATER NORTH,Bayswater North," $450,000 "," $436,000 "," $426,500 "," $468,500 "," $490,000 "," $580,000 "," $628,000 "," $737,500 "," $713,000 "," $695,000 "," $730,000 ",62,5
BEACONSFIELD,Beaconsfield," $460,000 "," $505,000 "," $511,500 "," $486,500 "," $525,000 "," $559,000 "," $585,000 "," $694,500 "," $730,000 "," $685,000 "," $717,500 ",56,4.5
BEACONSFIELD UPPER,Beaconsfield Upper," $472,000 "," $437,500 "," $535,000 "," $470,000 "," $507,500 "," $602,500 "," $630,000 "," $725,500 "," $903,500 "," $787,500 "," $818,000 ",73,5.6
BEAUFORT,Beaufort," $174,500 "," $142,500 "," $186,000 "," $186,000 "," $220,000 "," $205,000 "," $237,500 "," $220,000 "," $225,000 "," $242,500 "," $322,000 ",85,6.3
BEAUMARIS,Beaumaris," $1,107,500 "," $1,050,000 "," $997,000 "," $1,074,000 "," $1,129,500 "," $1,345,000 "," $1,455,000 "," $1,611,000 "," $1,674,000 "," $1,587,500 "," $1,705,000 ",54,4.4
BEECHWORTH,Beechworth," $310,500 "," $320,000 "," $304,500 "," $295,000 "," $295,000 "," $332,000 "," $345,000 "," $399,000 "," $400,000 "," $478,500 "," $490,000 ",58,4.7
BELGRAVE,Belgrave," $380,000 "," $375,000 "," $390,000 "," $410,000 "," $426,000 "," $482,500 "," $545,000 "," $620,000 "," $676,000 "," $636,000 "," $680,000 ",79,6
BELGRAVE HEIGHTS,Belgrave Heights," $425,000 "," $382,000 "," $399,000 "," $430,000 "," $480,000 "," $590,500 "," $624,000 "," $687,500 "," $701,500 "," $685,000 "," $737,500 ",74,5.7
BELGRAVE SOUTH,Belgrave South," $490,000 "," $475,000 "," $447,500 "," $548,000 "," $541,000 "," $555,500 "," $565,000 "," $689,000 "," $782,500 "," $665,500 "," $845,000 ",72,5.6
BELL PARK,Bell Park," $290,000 "," $315,000 "," $290,500 "," $314,000 "," $323,500 "," $340,000 "," $360,000 "," $400,000 "," $452,500 "," $482,000 "," $497,500 ",72,5.5
BELL POST HILL,Bell Post Hill," $310,000 "," $320,000 "," $328,000 "," $328,000 "," $333,500 "," $344,500 "," $355,000 "," $435,000 "," $487,000 "," $475,000 "," $507,000 ",63,5
BELLFIELD (BANYULE),Bellfield (Banyule)," $575,000 "," $550,500 "," $510,000 "," $516,000 "," $582,500 "," $700,000 "," $778,000 "," $897,000 "," $882,500 "," $790,000 "," $800,000 ",39,3.4
BELMONT,Belmont," $338,000 "," $345,000 "," $350,000 "," $360,000 "," $362,000 "," $395,000 "," $430,000 "," $500,000 "," $545,000 "," $545,000 "," $605,000 ",79,6
BENALLA,Benalla," $220,000 "," $225,000 "," $216,500 "," $228,000 "," $235,500 "," $222,500 "," $231,500 "," $250,000 "," $284,000 "," $290,000 "," $302,000 ",37,3.2
BENDIGO,Bendigo," $295,000 "," $290,000 "," $335,000 "," $340,000 "," $376,500 "," $372,000 "," $400,000 "," $400,000 "," $400,000 "," $420,000 "," $499,000 ",69,5.4
BENTLEIGH,Bentleigh," $910,000 "," $882,000 "," $820,000 "," $900,000 "," $1,050,000 "," $1,245,000 "," $1,380,000 "," $1,470,000 "," $1,394,000 "," $1,380,000 "," $1,505,000 ",65,5.2
BENTLEIGH EAST,Bentleigh East," $760,000 "," $720,000 "," $680,000 "," $750,000 "," $850,000 "," $1,000,500 "," $1,115,000 "," $1,256,000 "," $1,205,000 "," $1,200,000 "," $1,252,500 ",65,5.1
BERWICK,Berwick," $450,000 "," $440,000 "," $451,000 "," $453,000 "," $487,500 "," $535,000 "," $583,000 "," $670,000 "," $690,500 "," $671,000 "," $701,500 ",56,4.5
BEVERIDGE,Beveridge," $522,500 "," $416,500 "," $412,500 "," $396,000 "," $351,500 "," $400,000 "," $430,000 "," $495,000 "," $540,000 "," $590,000 "," $552,000 ",6,0.6
BIRCHIP,Birchip," $67,500 "," $77,000 "," $87,500 "," $120,000 "," $90,000 "," $121,500 "," $55,000 "," $100,000 "," $100,000 "," $108,500 "," $127,500 ",89,6.6
BIRREGURRA,Birregurra," $230,000 "," $260,000 "," $260,000 "," $255,000 "," $337,500 "," $302,500 "," $345,000 "," $382,500 "," $412,500 "," $463,000 "," $467,000 ",103,7.3
BITTERN,Bittern," $352,000 "," $365,000 "," $382,500 "," $402,000 "," $390,000 "," $382,500 "," $464,000 "," $526,500 "," $650,000 "," $577,500 "," $630,000 ",79,6
BLACK HILL,Black Hill," $263,500 "," $292,000 "," $265,000 "," $283,500 "," $321,500 "," $300,000 "," $315,000 "," $370,000 "," $405,000 "," $492,500 "," $491,000 ",86,6.4
BLACK ROCK,Black Rock," $1,390,000 "," $1,237,500 "," $1,175,000 "," $1,225,000 "," $1,400,000 "," $1,545,000 "," $1,745,000 "," $2,017,500 "," $2,029,000 "," $1,777,500 "," $1,867,500 ",34,3
BLACKBURN,Blackburn," $850,000 "," $786,000 "," $750,000 "," $860,500 "," $936,000 "," $1,200,500 "," $1,241,000 "," $1,410,000 "," $1,370,500 "," $1,305,000 "," $1,404,000 ",65,5.1
BLACKBURN NORTH,Blackburn North," $659,000 "," $617,500 "," $609,000 "," $692,000 "," $790,000 "," $921,500 "," $1,040,000 "," $1,140,500 "," $1,038,000 "," $1,017,500 "," $1,080,000 ",64,5.1
BLACKBURN SOUTH,Blackburn South," $670,000 "," $636,500 "," $632,000 "," $697,500 "," $780,000 "," $920,500 "," $1,050,000 "," $1,200,000 "," $1,063,500 "," $1,034,000 "," $1,101,000 ",64,5.1
BLACKWOOD,Blackwood," $260,000 "," $263,000 "," $245,000 "," $310,000 "," $266,000 "," $260,000 "," $291,000 "," $403,000 "," $326,500 "," $372,500 "," $477,500 ",84,6.3
BLAIRGOWRIE,Blairgowrie," $625,000 "," $600,000 "," $580,000 "," $609,000 "," $627,500 "," $621,500 "," $770,000 "," $883,000 "," $990,500 "," $921,500 "," $1,143,500 ",83,6.2
BLIND BIGHT,Blind Bight," $337,500 "," $358,000 "," $319,000 "," $362,500 "," $343,000 "," $401,000 "," $440,000 "," $514,000 "," $546,000 "," $552,500 "," $565,000 ",67,5.3
BONBEACH,Bonbeach," $585,000 "," $555,000 "," $535,000 "," $580,000 "," $635,000 "," $700,000 "," $778,000 "," $882,500 "," $910,000 "," $855,000 "," $901,500 ",54,4.4
BONNIE DOON,Bonnie Doon," $210,000 "," $215,000 "," $262,500 "," $250,000 "," $275,000 "," $290,000 "," $290,000 "," $315,000 "," $417,500 "," $410,000 "," $372,500 ",77,5.9
BOOLARRA,Boolarra," $178,000 "," $209,000 "," $190,000 "," $196,500 "," $260,000 "," $212,500 "," $202,500 "," $255,000 "," $250,000 "," $247,500 "," $255,000 ",43,3.7
BOORT,Boort," $157,000 "," $164,000 "," $107,000 "," $157,500 "," $162,500 "," $130,000 "," $200,500 "," $215,000 "," $180,000 "," $185,000 "," $165,000 ",5,0.5
BORONIA,Boronia," $450,000 "," $440,000 "," $430,000 "," $459,500 "," $500,500 "," $592,500 "," $648,500 "," $735,000 "," $742,500 "," $684,000 "," $715,000 ",59,4.7
BOTANIC RIDGE,Botanic Ridge," $520,000 "," $475,000 "," $500,000 "," $492,000 "," $519,000 "," $565,000 "," $600,000 "," $690,000 "," $730,000 "," $700,000 "," $730,000 ",40,3.5
BOX HILL,Box Hill," $874,000 "," $975,000 "," $852,000 "," $855,000 "," $1,067,000 "," $1,350,000 "," $1,360,500 "," $1,752,500 "," $1,700,000 "," $1,536,500 "," $1,470,000 ",68,5.3
BOX HILL NORTH,Box Hill North," $726,000 "," $678,000 "," $648,500 "," $746,000 "," $856,500 "," $1,060,000 "," $1,146,000 "," $1,321,000 "," $1,188,000 "," $1,200,000 "," $1,180,000 ",63,5
BOX HILL SOUTH,Box Hill South," $823,000 "," $770,000 "," $715,000 "," $785,000 "," $910,000 "," $1,153,000 "," $1,255,000 "," $1,409,000 "," $1,285,500 "," $1,177,500 "," $1,255,000 ",52,4.3
BRAYBROOK,Braybrook," $460,000 "," $443,000 "," $396,000 "," $424,000 "," $479,500 "," $550,000 "," $629,000 "," $665,000 "," $728,500 "," $645,000 "," $679,500 ",48,4
BREAKWATER,Breakwater," $250,000 "," $252,500 "," $242,500 "," $255,000 "," $251,500 "," $267,500 "," $277,500 "," $335,000 "," $385,000 "," $405,000 "," $410,000 ",64,5.1
BRIAGOLONG,Briagolong," $205,000 "," $225,000 "," $215,000 "," $226,000 "," $200,000 "," $215,000 "," $265,000 "," $257,000 "," $264,000 "," $315,000 "," $270,000 ",32,2.8
BRIAR HILL,Briar Hill," $580,000 "," $545,500 "," $540,000 "," $572,500 "," $633,000 "," $680,000 "," $721,500 "," $833,000 "," $880,000 "," $823,500 "," $881,500 ",52,4.3
BRIGHT,Bright," $311,500 "," $335,000 "," $340,000 "," $325,000 "," $349,000 "," $392,500 "," $429,500 "," $495,000 "," $590,000 "," $580,000 "," $700,000 ",125,8.4
BRIGHTON,Brighton," $1,810,000 "," $1,730,000 "," $1,789,500 "," $1,802,500 "," $1,940,000 "," $2,302,500 "," $2,740,000 "," $3,050,000 "," $2,888,000 "," $2,662,500 "," $3,065,000 ",69,5.4
BRIGHTON EAST,Brighton East," $1,255,000 "," $1,100,000 "," $1,075,000 "," $1,230,000 "," $1,300,000 "," $1,600,000 "," $1,750,000 "," $1,900,000 "," $1,890,000 "," $1,700,000 "," $1,950,000 ",55,4.5
BROADFORD,Broadford," $248,500 "," $260,000 "," $268,500 "," $291,000 "," $267,000 "," $270,000 "," $287,500 "," $330,000 "," $396,500 "," $417,500 "," $452,500 ",82,6.2
BROADMEADOWS,Broadmeadows," $384,000 "," $357,000 "," $320,000 "," $325,000 "," $345,000 "," $370,000 "," $416,500 "," $546,000 "," $575,000 "," $526,000 "," $555,000 ",44,3.7
BROOKFIELD,Brookfield," $333,500 "," $341,000 "," $332,000 "," $330,000 "," $350,500 "," $340,000 "," $360,000 "," $425,000 "," $491,500 "," $445,000 "," $500,000 ",50,4.1
BROOKLYN,Brooklyn," $486,500 "," $485,000 "," $470,000 "," $491,500 "," $540,000 "," $602,000 "," $700,500 "," $834,000 "," $695,000 "," $672,500 "," $670,000 ",38,3.3
BROWN HILL,Brown Hill," $261,000 "," $258,500 "," $300,000 "," $310,000 "," $281,500 "," $270,000 "," $338,000 "," $350,000 "," $405,000 "," $449,000 "," $487,500 ",87,6.4
BRUNSWICK,Brunswick," $710,000 "," $670,000 "," $673,000 "," $750,000 "," $815,000 "," $860,500 "," $946,000 "," $1,200,000 "," $1,095,000 "," $1,036,500 "," $1,100,000 ",55,4.5
BRUNSWICK EAST,Brunswick East," $700,000 "," $700,000 "," $713,000 "," $767,000 "," $819,500 "," $888,000 "," $998,000 "," $1,150,000 "," $1,170,000 "," $1,011,500 "," $1,290,000 ",84,6.3
BRUNSWICK WEST,Brunswick West," $728,000 "," $701,500 "," $685,000 "," $745,000 "," $790,000 "," $866,500 "," $1,005,000 "," $1,155,000 "," $1,160,000 "," $1,061,500 "," $1,180,000 ",62,5
BRUTHEN,Bruthen," $226,000 "," $204,000 "," $175,000 "," $198,000 "," $182,500 "," $205,000 "," $207,000 "," $229,500 "," $261,000 "," $229,000 "," $345,000 ",53,4.3
BULLEEN,Bulleen," $728,000 "," $722,500 "," $707,000 "," $780,000 "," $861,000 "," $1,095,000 "," $1,170,000 "," $1,300,000 "," $1,230,000 "," $1,105,000 "," $1,178,500 ",62,4.9
BUNDALONG,Bundalong," $390,000 "," $500,000 "," $385,000 "," $337,500 "," $336,500 "," $372,500 "," $425,000 "," $373,000 "," $462,000 "," $515,000 "," $712,500 ",83,6.2
BUNDOORA,Bundoora," $500,000 "," $490,000 "," $485,000 "," $530,000 "," $553,500 "," $600,500 "," $651,000 "," $753,000 "," $730,000 "," $730,000 "," $744,000 ",49,4.1
BUNINYONG,Buninyong," $322,500 "," $307,500 "," $376,500 "," $349,000 "," $385,000 "," $364,500 "," $381,000 "," $470,000 "," $467,500 "," $475,000 "," $587,500 ",82,6.2
BUNYIP,Bunyip," $292,500 "," $340,000 "," $342,500 "," $332,500 "," $325,000 "," $420,000 "," $357,500 "," $437,500 "," $550,000 "," $500,500 "," $540,000 ",85,6.3
BURNSIDE,Burnside," $395,000 "," $410,000 "," $385,000 "," $390,000 "," $401,000 "," $415,000 "," $518,500 "," $572,500 "," $605,000 "," $605,000 "," $660,000 ",67,5.3
BURNSIDE HEIGHTS,Burnside Heights," $405,000 "," $405,000 "," $420,000 "," $427,000 "," $442,500 "," $460,000 "," $522,000 "," $590,000 "," $633,000 "," $591,000 "," $655,000 ",62,4.9
BURWOOD,Burwood," $778,000 "," $799,000 "," $765,000 "," $780,000 "," $921,000 "," $1,190,000 "," $1,219,000 "," $1,357,000 "," $1,320,000 "," $1,165,500 "," $1,277,500 ",64,5.1
BURWOOD EAST,Burwood East," $678,000 "," $630,000 "," $617,000 "," $685,500 "," $782,000 "," $982,500 "," $1,021,000 "," $1,126,500 "," $1,048,000 "," $1,020,000 "," $1,050,000 ",55,4.5
CAIRNLEA,Cairnlea," $463,000 "," $478,500 "," $440,000 "," $480,000 "," $545,000 "," $540,000 "," $608,500 "," $710,000 "," $734,000 "," $752,500 "," $807,500 ",74,5.7
CALIFORNIA GULLY,California Gully," $209,500 "," $240,000 "," $255,000 "," $252,500 "," $262,000 "," $256,500 "," $255,000 "," $250,000 "," $275,000 "," $287,000 "," $320,000 ",53,4.3
CAMBERWELL,Camberwell," $1,345,000 "," $1,322,000 "," $1,300,000 "," $1,382,000 "," $1,655,000 "," $1,912,500 "," $2,090,000 "," $2,300,000 "," $2,155,000 "," $2,085,000 "," $2,060,000 ",53,4.4
CAMPBELLFIELD,Campbellfield," $385,000 "," $360,000 "," $330,000 "," $330,000 "," $338,000 "," $374,500 "," $420,000 "," $507,000 "," $550,000 "," $533,000 "," $537,500 ",40,3.4
CAMPBELLS CREEK,Campbells Creek," $316,000 "," $340,000 "," $343,500 "," $382,000 "," $345,000 "," $387,500 "," $426,500 "," $380,000 "," $460,500 "," $500,000 "," $540,000 ",71,5.5
CAMPERDOWN,Camperdown," $185,000 "," $180,000 "," $183,500 "," $220,000 "," $186,000 "," $218,000 "," $217,500 "," $240,000 "," $235,000 "," $280,000 "," $295,000 ",59,4.8
CANADIAN,Canadian," $302,500 "," $298,000 "," $290,500 "," $322,500 "," $297,000 "," $345,000 "," $339,000 "," $334,500 "," $373,000 "," $375,000 "," $426,000 ",41,3.5
CANTERBURY,Canterbury," $1,827,500 "," $1,730,000 "," $1,790,000 "," $1,950,000 "," $2,100,000 "," $2,523,000 "," $2,620,000 "," $3,140,000 "," $2,536,500 "," $2,902,500 "," $2,700,000 ",48,4
CAPE PATERSON,Cape Paterson," $332,500 "," $420,000 "," $348,000 "," $337,000 "," $332,000 "," $350,000 "," $358,000 "," $407,500 "," $442,000 "," $540,000 "," $635,500 ",91,6.7
CAPE SCHANCK,Cape Schanck," $545,000 "," $477,500 "," $655,000 "," $620,000 "," $557,500 "," $660,000 "," $667,500 "," $972,500 "," $845,000 "," $940,000 "," $1,095,500 ",101,7.2
CAPEL SOUND,Capel Sound," $355,000 "," $375,000 "," $330,000 "," $350,000 "," $366,000 "," $390,000 "," $445,000 "," $542,500 "," $550,000 "," $520,000 "," $580,000 ",63,5
CARISBROOK,Carisbrook," $202,000 "," $134,500 "," $192,500 "," $218,500 "," $238,500 "," $200,000 "," $200,000 "," $245,000 "," $232,500 "," $300,000 "," $301,500 ",49,4.1
CARLTON,Carlton," $900,000 "," $1,055,000 "," $860,500 "," $1,002,500 "," $1,020,000 "," $830,000 "," $1,050,000 "," $1,470,000 "," $1,600,000 "," $1,308,000 "," $1,415,000 ",57,4.6
CARLTON NORTH,Carlton North," $930,000 "," $833,000 "," $940,000 "," $890,500 "," $1,095,000 "," $1,177,500 "," $1,360,000 "," $1,628,000 "," $1,445,000 "," $1,555,000 "," $1,500,000 ",61,4.9
CARNEGIE,Carnegie," $880,000 "," $905,500 "," $845,000 "," $865,000 "," $1,007,500 "," $1,300,000 "," $1,348,500 "," $1,509,000 "," $1,445,000 "," $1,313,500 "," $1,420,000 ",61,4.9
CAROLINE SPRINGS,Caroline Springs," $407,500 "," $420,000 "," $427,500 "," $435,000 "," $460,000 "," $480,000 "," $530,000 "," $611,000 "," $620,000 "," $620,000 "," $650,000 ",60,4.8
CARRUM,Carrum," $500,000 "," $492,500 "," $499,000 "," $510,000 "," $536,000 "," $611,000 "," $750,000 "," $835,500 "," $860,000 "," $770,000 "," $830,000 ",66,5.2
CARRUM DOWNS,Carrum Downs," $330,000 "," $345,000 "," $334,000 "," $330,000 "," $346,000 "," $370,000 "," $430,000 "," $525,000 "," $575,000 "," $537,000 "," $576,000 ",75,5.7
CASTERTON,Casterton," $117,500 "," $106,500 "," $110,000 "," $97,500 "," $99,000 "," $100,000 "," $126,500 "," $142,000 "," $132,500 "," $150,000 "," $161,500 ",37,3.2
CASTLEMAINE,Castlemaine," $300,000 "," $322,500 "," $338,000 "," $372,500 "," $369,500 "," $380,000 "," $410,000 "," $435,000 "," $499,000 "," $520,000 "," $545,000 ",82,6.2
CAULFIELD,Caulfield," $1,180,000 "," $1,150,000 "," $1,085,000 "," $1,172,500 "," $1,322,000 "," $1,650,000 "," $1,715,000 "," $1,914,000 "," $1,701,000 "," $1,762,500 "," $1,811,000 ",53,4.4
